station,date,prcp,tobs,
USC00513117,1/26/10,0,77,
USC00518838,1/26/10,0.13,74,
USC00519523,1/26/10,0.01,76,
USC00519281,1/26/10,0.01,75,
USC00511918,1/26/10,0.03,76,
USC00516128,1/26/10,0.03,69,
USC00519397,1/27/10,0.12,68,
USC00513117,1/27/10,0.12,71,
USC00518838,1/27/10,0.21,70,
USC00519523,1/27/10,0.28,69,
USC00519281,1/27/10,0.31,69,
USC00511918,1/27/10,0.25,69,
USC00516128,1/27/10,0.31,65,
USC00519397,1/28/10,0,72,
USC00513117,1/28/10,0.19,68,
USC00518838,1/28/10,0.01,70,
USC00519523,1/28/10,0.09,71,
USC00519281,1/28/10,0.37,67,
USC00516128,1/28/10,0.07,71,
USC00513117,1/29/10,0.19,68,
USC00519523,1/29/10,1.15,65,
USC00519281,1/29/10,0.75,66,
USC00511918,1/29/10,0,65,
USC00516128,1/29/10,0.1,65,
USC00519397,1/30/10,,70,
USC00513117,1/30/10,1.7,69,
USC00519523,1/30/10,2.75,69,
USC00519281,1/30/10,2.17,69,
USC00511918,1/30/10,0.4,77,
USC00516128,1/30/10,0.33,69,
USC00519397,1/31/10,0.03,67,
USC00513117,1/31/10,0.28,73,
USC00519523,1/31/10,0.05,72,
USC00519281,1/31/10,0.69,72,
USC00511918,1/31/10,0.01,71,
USC00516128,1/31/10,1.1,74,
USC00519397,2/1/10,0.01,66,
USC00513117,2/1/10,0.01,69,
USC00519523,2/1/10,0,68,
USC00519281,2/1/10,0.02,67,
USC00511918,2/1/10,0,64,
USC00516128,2/1/10,0.01,65,
USC00513117,2/2/10,0,70,
USC00518838,2/2/10,,66,
USC00519523,2/2/10,0,66,
USC00519281,2/2/10,0,65,
USC00511918,2/2/10,0,65,
USC00516128,2/2/10,0.05,69,
USC00519397,2/3/10,,67,
USC00513117,2/3/10,0.31,66,
USC00518838,2/3/10,0.87,65,
USC00519523,2/3/10,0.44,65,
USC00519281,2/3/10,0.37,64,
USC00511918,2/3/10,0.55,64,
USC00516128,2/3/10,0.67,63,
USC00519397,2/4/10,0.01,69,
USC00513117,2/4/10,0,69,
USC00518838,2/4/10,0.01,66,
USC00519523,2/4/10,0,68,
USC00519281,2/4/10,0,67,
USC00511918,2/4/10,0,64,
USC00516128,2/4/10,0,70,
USC00519397,2/5/10,0,67,
USC00513117,2/5/10,0,70,
USC00518838,2/5/10,0.01,59,
USC00519523,2/5/10,0.04,65,
USC00519281,2/5/10,0.02,67,
USC00511918,2/5/10,0,63,
USC00516128,2/5/10,0.09,66,
USC00519397,2/6/10,0,67,
USC00513117,2/6/10,0.06,66,
USC00518838,2/6/10,0.02,73,
USC00519523,2/6/10,0,76,
USC00519281,2/6/10,0,68,
USC00511918,2/6/10,0,67,
USC00516128,2/6/10,0.04,62,
USC00519397,2/7/10,0,64,
USC00513117,2/7/10,0,66,
USC00518838,2/7/10,0.01,62,
USC00519523,2/7/10,0,63,
USC00519281,2/7/10,0,69,
USC00519397,2/8/10,0,69,
USC00513117,2/8/10,0,71,
USC00519523,2/8/10,0,71,
USC00519281,2/8/10,0,66,
USC00511918,2/8/10,0,60,
USC00516128,2/8/10,0,69,
USC00519397,2/9/10,0,73,
USC00513117,2/9/10,0,72,
USC00518838,2/9/10,0,70,
USC00519523,2/9/10,0,70,
USC00519281,2/9/10,0,69,
USC00511918,2/9/10,0,61,
USC00516128,2/9/10,0,72,
USC00513117,2/10/10,0,65,
USC00518838,2/10/10,0,74,
USC00519523,2/10/10,0,66,
USC00519281,2/10/10,0,61,
USC00511918,2/10/10,0,60,
USC00516128,2/10/10,0,69,
USC00519397,2/11/10,0,73,
USC00519523,2/11/10,0,71,
USC00519281,2/11/10,0,71,
USC00511918,2/11/10,0,70,
USC00516128,2/11/10,0,69,
USC00519397,2/12/10,0.02,69,
USC00518838,2/12/10,,64,
USC00519523,2/12/10,0.07,70,
USC00519281,2/12/10,0.08,70,
USC00511918,2/12/10,0,68,
USC00516128,2/12/10,0.65,66,
USC00519397,2/13/10,0.01,69,
USC00513117,2/13/10,,71,
USC00518838,2/13/10,0.06,67,
USC00519523,2/13/10,0,71,
USC00519281,2/13/10,0.06,70,
USC00511918,2/13/10,0.03,67,
USC00516128,2/13/10,0.62,70,
USC00519397,2/14/10,0,69,
USC00513117,2/14/10,0,67,
USC00518838,2/14/10,0.01,67,
USC00519523,2/14/10,0,73,
USC00519281,2/14/10,0,66,
USC00511918,2/14/10,0,69,
USC00516128,2/14/10,0.02,73,
USC00519397,2/15/10,0,71,
USC00513117,2/15/10,0,72,
USC00518838,2/15/10,0,70,
USC00519523,2/15/10,0,73,
USC00519281,2/15/10,0,71,
USC00511918,2/15/10,0,72,
USC00516128,2/15/10,0,73,
USC00519397,2/16/10,0,61,
USC00513117,2/16/10,0,64,
USC00518838,2/16/10,0,71,
USC00519523,2/16/10,0,59,
USC00519281,2/16/10,0,61,
USC00511918,2/16/10,0,65,
USC00516128,2/16/10,0,74,
USC00519397,2/17/10,0,69,
USC00513117,2/17/10,0.02,69,
USC00518838,2/17/10,0.01,65,
USC00519523,2/17/10,0.01,68,
USC00519281,2/17/10,0,68,
USC00511918,2/17/10,0,66,
USC00516128,2/17/10,0.02,69,
USC00513117,2/18/10,0,68,
USC00519523,2/18/10,0,67,
USC00519281,2/18/10,0,67,
USC00511918,2/18/10,0,63,
USC00516128,2/18/10,0,65,
USC00519397,2/19/10,,63,
USC00513117,2/19/10,0.05,63,
USC00518838,2/19/10,,63,
USC00519523,2/19/10,0.2,63,
USC00519281,2/19/10,0.02,62,
USC00511918,2/19/10,0,62,
USC00516128,2/19/10,0.42,60,
USC00519397,2/20/10,0.03,64,
USC00513117,2/20/10,0.17,66,
USC00518838,2/20/10,0.1,70,
USC00519523,2/20/10,0.19,74,
USC00519281,2/20/10,0.57,65,
USC00511918,2/20/10,0,63,
USC00516128,2/20/10,0.55,74,
USC00519397,2/21/10,0,65,
USC00513117,2/21/10,0.04,66,
USC00518838,2/21/10,0.01,68,
USC00519523,2/21/10,0.16,66,
USC00519281,2/21/10,0.01,69,
USC00511918,2/21/10,0,68,
USC00519397,2/22/10,0,67,
USC00513117,2/22/10,0.87,66,
USC00519523,2/22/10,0.14,63,
USC00519281,2/22/10,0.22,63,
USC00511918,2/22/10,0,64,
USC00516128,2/22/10,,62,
USC00519397,2/23/10,0,68,
USC00513117,2/23/10,0,65,
USC00518838,2/23/10,,72,
USC00519523,2/23/10,0.03,63,
USC00519281,2/23/10,0,62,
USC00511918,2/23/10,0,63,
USC00516128,2/23/10,0,71,
USC00519397,2/24/10,0,65,
USC00513117,2/24/10,0,65,
USC00518838,2/24/10,0.01,72,
USC00519523,2/24/10,0,62,
USC00519281,2/24/10,0,61,
USC00511918,2/24/10,0,63,
USC00516128,2/24/10,0,62,
USC00519397,2/25/10,0,76,
USC00513117,2/25/10,0,70,
USC00518838,2/25/10,0.02,72,
USC00519523,2/25/10,0,69,
USC00519281,2/25/10,0,64,
USC00511918,2/25/10,0,64,
USC00516128,2/25/10,0,72,
USC00519397,2/26/10,0,75,
USC00513117,2/26/10,0,74,
USC00519523,2/26/10,0,73,
USC00519281,2/26/10,0.01,72,
USC00511918,2/26/10,0,72,
USC00516128,2/26/10,0.01,71,
USC00513117,2/27/10,0,70,
USC00519523,2/27/10,0.01,73,
USC00519281,2/27/10,0,68,
USC00516128,2/27/10,0.02,75,
USC00519397,2/28/10,0,66,
USC00513117,2/28/10,0,70,
USC00519523,2/28/10,0.19,69,
USC00519281,2/28/10,0.12,68,
USC00511918,2/28/10,,68,
USC00516128,2/28/10,0.2,67,
USC00519397,3/1/10,0.01,70,
USC00513117,3/1/10,0.04,70,
USC00514830,3/1/10,0.01,67,
USC00518838,3/1/10,,67,
USC00519523,3/1/10,0.01,69,
USC00519281,3/1/10,0.01,68,
USC00511918,3/1/10,0,68,
USC00516128,3/1/10,0.12,66,
USC00519397,3/2/10,0,72,
USC00513117,3/2/10,0,71,
USC00514830,3/2/10,0,70,
USC00518838,3/2/10,0,69,
USC00519523,3/2/10,0,71,
USC00519281,3/2/10,0,71,
USC00511918,3/2/10,0,69,
USC00516128,3/2/10,0,67,
USC00519397,3/3/10,0,73,
USC00513117,3/3/10,0,71,
USC00514830,3/3/10,0.01,68,
USC00519523,3/3/10,0,71,
USC00519281,3/3/10,0,69,
USC00511918,3/3/10,0,70,
USC00516128,3/3/10,0.12,66,
USC00519397,3/4/10,0.12,70,
USC00513117,3/4/10,0.33,68,
USC00514830,3/4/10,0.48,67,
USC00519523,3/4/10,0.15,69,
USC00519281,3/4/10,0.4,65,
USC00511918,3/4/10,0.04,67,
USC00516128,3/4/10,1.41,65,
USC00519397,3/5/10,0.08,71,
USC00513117,3/5/10,0.21,69,
USC00514830,3/5/10,0.22,67,
USC00518838,3/5/10,,63,
USC00519523,3/5/10,0.12,70,
USC00519281,3/5/10,0.33,67,
USC00511918,3/5/10,0.03,69,
USC00516128,3/5/10,1.33,65,
USC00519397,3/6/10,0.03,72,
USC00513117,3/6/10,0.09,71,
USC00514830,3/6/10,0.06,74,
USC00518838,3/6/10,1.08,63,
USC00519523,3/6/10,0.02,72,
USC00519281,3/6/10,0.51,71,
USC00511918,3/6/10,0,74,
USC00516128,3/6/10,0.9,68,
USC00519397,3/7/10,0,72,
USC00513117,3/7/10,0,70,
USC00518838,3/7/10,0.17,67,
USC00519523,3/7/10,0,72,
USC00519281,3/7/10,0.08,70,
USC00511918,3/7/10,0,68,
USC00516128,3/7/10,0.35,69,
USC00519397,3/8/10,0.43,69,
USC00513117,3/8/10,0.34,70,
USC00514830,3/8/10,,69,
USC00518838,3/8/10,0.64,66,
USC00519523,3/8/10,0.02,70,
USC00519281,3/8/10,0.53,69,
USC00511918,3/8/10,0.08,64,
USC00516128,3/8/10,0.7,65,
USC00519397,3/9/10,0.06,70,
USC00513117,3/9/10,0.05,68,
USC00514830,3/9/10,0.03,70,
USC00518838,3/9/10,0.23,67,
USC00519523,3/9/10,0,69,
USC00519281,3/9/10,0.04,69,
USC00511918,3/9/10,0.06,68,
USC00516128,3/9/10,0.24,72,
USC00513117,3/10/10,0.04,70,
USC00514830,3/10/10,0.03,70,
USC00519523,3/10/10,0.12,72,
USC00519281,3/10/10,0.45,70,
USC00511918,3/10/10,0.01,71,
USC00516128,3/10/10,0.14,66,
USC00519397,3/11/10,,73,
USC00513117,3/11/10,0.09,71,
USC00514830,3/11/10,0.32,72,
USC00518838,3/11/10,,68,
USC00519523,3/11/10,0.04,72,
USC00519281,3/11/10,0.01,69,
USC00511918,3/11/10,0,70,
USC00516128,3/11/10,0.68,71,
USC00519397,3/12/10,0,72,
USC00513117,3/12/10,0.03,71,
USC00514830,3/12/10,0.02,67,
USC00518838,3/12/10,0.04,69,
USC00519523,3/12/10,0,69,
USC00519281,3/12/10,0.12,70,
USC00511918,3/12/10,0,71,
USC00516128,3/12/10,0.03,66,
USC00519397,3/13/10,0,73,
USC00513117,3/13/10,0,70,
USC00518838,3/13/10,0.03,62,
USC00519523,3/13/10,0,76,
USC00519281,3/13/10,0,73,
USC00516128,3/13/10,0.1,74,
USC00519397,3/14/10,0,70,
USC00513117,3/14/10,0,72,
USC00514830,3/14/10,0,70,
USC00518838,3/14/10,0.02,62,
USC00519523,3/14/10,0,75,
USC00519281,3/14/10,0,74,
USC00511918,3/14/10,0,76,
USC00516128,3/14/10,0.1,74,
USC00519397,3/15/10,0.06,71,
USC00513117,3/15/10,0.16,70,
USC00514830,3/15/10,0.03,70,
USC00518838,3/15/10,0.13,65,
USC00519523,3/15/10,0.13,71,
USC00519281,3/15/10,0.23,67,
USC00511918,3/15/10,0.01,66,
USC00516128,3/15/10,0.83,66,
USC00513117,3/16/10,0.16,71,
USC00518838,3/16/10,0.46,63,
USC00519523,3/16/10,0.35,71,
USC00519281,3/16/10,0.5,68,
USC00511918,3/16/10,0.06,65,
USC00516128,3/16/10,2.2,69,
USC00519397,3/17/10,0,68,
USC00513117,3/17/10,0.4,66,
USC00514830,3/17/10,,66,
USC00519523,3/17/10,0.05,69,
USC00519281,3/17/10,0.19,64,
USC00511918,3/17/10,0,63,
USC00516128,3/17/10,1.32,65,
USC00519397,3/18/10,0,70,
USC00513117,3/18/10,0.44,66,
USC00514830,3/18/10,0.54,66,
USC00519523,3/18/10,0.74,67,
USC00519281,3/18/10,0.69,65,
USC00511918,3/18/10,0.01,65,
USC00516128,3/18/10,0.11,70,
USC00513117,3/19/10,0.08,69,
USC00514830,3/19/10,0.07,66,
USC00518838,3/19/10,,62,
USC00519523,3/19/10,0.03,68,
USC00519281,3/19/10,0.19,68,
USC00511918,3/19/10,0,67,
USC00516128,3/19/10,0.01,67,
USC00513117,3/20/10,0.01,69,
USC00514830,3/20/10,0,68,
USC00519523,3/20/10,0,71,
USC00519281,3/20/10,0,68,
USC00511918,3/20/10,0,73,
USC00516128,3/20/10,0.18,65,
USC00519397,3/21/10,0,72,
USC00513117,3/21/10,0,71,
USC00514830,3/21/10,0,72,
USC00518838,3/21/10,,61,
USC00519523,3/21/10,0,70,
USC00519281,3/21/10,0.05,72,
USC00511918,3/21/10,0,60,
USC00516128,3/21/10,1,74,
USC00519397,3/22/10,0,69,
USC00513117,3/22/10,0,68,
USC00514830,3/22/10,0,71,
USC00519523,3/22/10,0,73,
USC00519281,3/22/10,0,67,
USC00511918,3/22/10,0,65,
USC00516128,3/22/10,0,77,
USC00519397,3/23/10,0,68,
USC00513117,3/23/10,0,67,
USC00514830,3/23/10,0,70,
USC00519523,3/23/10,0,67,
USC00519281,3/23/10,0,64,
USC00511918,3/23/10,0.01,65,
USC00516128,3/23/10,0,74,
USC00519397,3/24/10,0,74,
USC00513117,3/24/10,0.03,72,
USC00514830,3/24/10,0.02,72,
USC00518838,3/24/10,,73,
USC00519523,3/24/10,0.01,77,
USC00519281,3/24/10,0.02,71,
USC00511918,3/24/10,0,71,
USC00516128,3/24/10,0.07,71,
USC00513117,3/25/10,0.01,72,
USC00514830,3/25/10,0.13,72,
USC00519523,3/25/10,0.12,73,
USC00519281,3/25/10,0.06,70,
USC00511918,3/25/10,0,71,
USC00516128,3/25/10,0.35,67,
USC00519397,3/26/10,,72,
USC00513117,3/26/10,0.02,71,
USC00514830,3/26/10,0.03,70,
USC00519523,3/26/10,0.02,74,
USC00519281,3/26/10,0.12,72,
USC00511918,3/26/10,0,66,
USC00516128,3/26/10,0.91,71,
USC00519397,3/27/10,0,72,
USC00513117,3/27/10,0.01,71,
USC00514830,3/27/10,0,74,
USC00519523,3/27/10,0.02,77,
USC00519281,3/27/10,0,73,
USC00511918,3/27/10,0,73,
USC00516128,3/27/10,0,72,
USC00519397,3/28/10,0,73,
USC00513117,3/28/10,0.01,71,
USC00514830,3/28/10,0,72,
USC00518838,3/28/10,,69,
USC00519523,3/28/10,0.05,76,
USC00519281,3/28/10,0,74,
USC00511918,3/28/10,0,73,
USC00516128,3/28/10,0,74,
USC00519397,3/29/10,0,74,
USC00513117,3/29/10,0,72,
USC00514830,3/29/10,0.01,70,
USC00518838,3/29/10,0.13,69,
USC00519523,3/29/10,0,73,
USC00519281,3/29/10,0.01,69,
USC00511918,3/29/10,0,73,
USC00516128,3/29/10,0.02,70,
USC00519397,3/30/10,0,73,
USC00513117,3/30/10,0.02,73,
USC00514830,3/30/10,0.03,71,
USC00518838,3/30/10,0.04,69,
USC00519523,3/30/10,0.01,73,
USC00519281,3/30/10,0.03,71,
USC00511918,3/30/10,0.01,73,
USC00516128,3/30/10,0.49,68,
USC00519397,3/31/10,0,73,
USC00513117,3/31/10,0.02,71,
USC00514830,3/31/10,0.04,67,
USC00519523,3/31/10,0,73,
USC00519281,3/31/10,0,72,
USC00511918,3/31/10,0,73,
USC00516128,3/31/10,0.08,70,
USC00519397,4/1/10,0,74,
USC00513117,4/1/10,0.01,73,
USC00514830,4/1/10,0.02,69,
USC00519523,4/1/10,0.03,72,
USC00519281,4/1/10,0.03,71,
USC00511918,4/1/10,0,73,
USC00516128,4/1/10,0.04,73,
USC00519397,4/2/10,0.01,74,
USC00513117,4/2/10,0.02,71,
USC00514830,4/2/10,0.05,71,
USC00518838,4/2/10,,65,
USC00519523,4/2/10,0,72,
USC00519281,4/2/10,0.11,74,
USC00511918,4/2/10,0,71,
USC00516128,4/2/10,0.19,73,
USC00519397,4/3/10,0.17,74,
USC00513117,4/3/10,0.03,72,
USC00518838,4/3/10,0.53,67,
USC00519523,4/3/10,0.19,72,
USC00519281,4/3/10,0.18,73,
USC00511918,4/3/10,0,78,
USC00516128,4/3/10,0.92,67,
USC00519397,4/4/10,0.15,71,
USC00513117,4/4/10,0.13,71,
USC00514830,4/4/10,,70,
USC00518838,4/4/10,0.87,66,
USC00519523,4/4/10,0.12,72,
USC00519281,4/4/10,0.11,71,
USC00511918,4/4/10,0.12,71,
USC00516128,4/4/10,2.56,67,
USC00519397,4/5/10,0.27,72,
USC00513117,4/5/10,0.19,71,
USC00514830,4/5/10,0.1,70,
USC00518838,4/5/10,1.8,67,
USC00519523,4/5/10,0.1,72,
USC00519281,4/5/10,0.57,71,
USC00511918,4/5/10,0.01,73,
USC00516128,4/5/10,0.87,69,
USC00519397,4/6/10,0.01,75,
USC00513117,4/6/10,0.07,69,
USC00514830,4/6/10,0.15,70,
USC00518838,4/6/10,0.3,70,
USC00519523,4/6/10,0.03,73,
USC00519281,4/6/10,0.16,69,
USC00511918,4/6/10,0,70,
USC00516128,4/6/10,1.83,69,
USC00513117,4/7/10,0.51,70,
USC00514830,4/7/10,0.05,71,
USC00518838,4/7/10,2.12,72,
USC00519523,4/7/10,0.2,73,
USC00519281,4/7/10,3.99,69,
USC00511918,4/7/10,0.01,71,
USC00516128,4/7/10,1.43,68,
USC00519397,4/8/10,0,75,
USC00513117,4/8/10,0,73,
USC00514830,4/8/10,0.32,72,
USC00518838,4/8/10,0.47,74,
USC00519523,4/8/10,0,73,
USC00519281,4/8/10,0.1,72,
USC00511918,4/8/10,0.87,68,
USC00516128,4/8/10,0.35,76,
USC00519397,4/9/10,0.01,75,
USC00513117,4/9/10,0.24,69,
USC00514830,4/9/10,0.04,71,
USC00518838,4/9/10,0.8,71,
USC00519523,4/9/10,0,73,
USC00519281,4/9/10,0.01,68,
USC00511918,4/9/10,0.01,68,
USC00516128,4/9/10,0.5,68,
USC00519397,4/10/10,0,75,
USC00513117,4/10/10,0.03,72,
USC00514830,4/10/10,0.05,75,
USC00519523,4/10/10,0,76,
USC00519281,4/10/10,0.14,75,
USC00511918,4/10/10,0,74,
USC00516128,4/10/10,0.4,67,
USC00519397,4/11/10,0.01,73,
USC00513117,4/11/10,0.03,69,
USC00514830,4/11/10,0.09,68,
USC00518838,4/11/10,,67,
USC00519523,4/11/10,0.01,75,
USC00519281,4/11/10,0.02,69,
USC00511918,4/11/10,0,77,
USC00516128,4/11/10,1.04,73,
USC00519397,4/12/10,0.01,73,
USC00513117,4/12/10,0.01,71,
USC00514830,4/12/10,0,70,
USC00519523,4/12/10,0,71,
USC00519281,4/12/10,0,65,
USC00511918,4/12/10,0.01,66,
USC00516128,4/12/10,0.02,68,
USC00519397,4/13/10,0,71,
USC00513117,4/13/10,0.06,71,
USC00514830,4/13/10,0.02,68,
USC00518838,4/13/10,,70,
USC00519523,4/13/10,0.13,71,
USC00519281,4/13/10,0.02,68,
USC00511918,4/13/10,0,68,
USC00516128,4/13/10,0.93,71,
USC00513117,4/14/10,0.07,69,
USC00514830,4/14/10,0,67,
USC00518838,4/14/10,0.03,67,
USC00519523,4/14/10,0.02,69,
USC00519281,4/14/10,0.14,65,
USC00511918,4/14/10,0,72,
USC00516128,4/14/10,0,68,
USC00519397,4/15/10,0,71,
USC00513117,4/15/10,0,69,
USC00514830,4/15/10,0,68,
USC00519523,4/15/10,0,70,
USC00519281,4/15/10,0,66,
USC00511918,4/15/10,0,61,
USC00516128,4/15/10,0,67,
USC00519397,4/16/10,0.01,68,
USC00513117,4/16/10,0.03,67,
USC00514830,4/16/10,0.02,68,
USC00518838,4/16/10,,62,
USC00519523,4/16/10,0.02,64,
USC00519281,4/16/10,0,64,
USC00511918,4/16/10,0,65,
USC00516128,4/16/10,0.06,65,
USC00519397,4/17/10,0,70,
USC00513117,4/17/10,0.02,69,
USC00514830,4/17/10,0,70,
USC00518838,4/17/10,0.01,65,
USC00519523,4/17/10,0.02,69,
USC00519281,4/17/10,0.03,69,
USC00511918,4/17/10,0,70,
USC00516128,4/17/10,0.03,70,
USC00519397,4/18/10,0,71,
USC00513117,4/18/10,0,70,
USC00514830,4/18/10,0,68,
USC00518838,4/18/10,0.2,70,
USC00519523,4/18/10,0,70,
USC00519281,4/18/10,0,69,
USC00511918,4/18/10,0,71,
USC00516128,4/18/10,0.03,71,
USC00519397,4/19/10,0,74,
USC00513117,4/19/10,0.01,71,
USC00514830,4/19/10,0,70,
USC00519523,4/19/10,0,72,
USC00519281,4/19/10,0,70,
USC00511918,4/19/10,0,70,
USC00516128,4/19/10,0.01,71,
USC00519397,4/20/10,0.04,71,
USC00513117,4/20/10,0.06,70,
USC00514830,4/20/10,0.18,70,
USC00519523,4/20/10,0.12,72,
USC00519281,4/20/10,0.02,69,
USC00511918,4/20/10,0,71,
USC00516128,4/20/10,0.68,71,
USC00519397,4/21/10,0.01,75,
USC00513117,4/21/10,0,72,
USC00514830,4/21/10,0.06,71,
USC00518838,4/21/10,,70,
USC00519523,4/21/10,0.1,72,
USC00519281,4/21/10,0.13,69,
USC00511918,4/21/10,0,71,
USC00516128,4/21/10,0.17,71,
USC00519397,4/22/10,0,76,
USC00513117,4/22/10,0,72,
USC00514830,4/22/10,0.07,69,
USC00518838,4/22/10,0.54,72,
USC00519523,4/22/10,0.04,73,
USC00519281,4/22/10,0.02,69,
USC00511918,4/22/10,0,75,
USC00519397,4/23/10,0.02,75,
USC00513117,4/23/10,0.13,71,
USC00514830,4/23/10,0.05,72,
USC00518838,4/23/10,0.1,67,
USC00519523,4/23/10,0.14,72,
USC00519281,4/23/10,0.18,70,
